,question,references,corpus_id,Unnamed: 0,location
540,Who may adopt a provisional measure according to Article 55(1)?,the requesting supervisory authority may adopt a provisional measure on the territory of its Member State in accordance with Article 55(1),C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 61_ Mutual assistance.txt,,
541,What may the Commission specify through implementing acts?,"The Commission may, by means of implementing acts, specify the format and procedures for mutual assistance referred to in this Article",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 61_ Mutual assistance.txt,,
542,Who has the right to participate in joint operations?,"Where the controller or processor has establishments in several Member States or where a significant number of data subjects in more than one Member State are likely to be substantially affected by processing operations, a supervisory authority of each of those Member States shall have the right to participate in joint operations.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
543,What shall the supervisory authority do when requested to participate in joint operations?,The supervisory authority which is competent pursuant to Article 56(1) or (4) shall invite the supervisory authority of each of those Member States to take part in the joint operations and shall respond without delay to the request of a supervisory authority to participate.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
544,Who may confer powers on the seconding supervisory authority's members or staff?,"A supervisory authority may, in accordance with Member State law, and with the seconding supervisory authority's authorisation, confer powers, including investigative powers on the seconding supervisory authority's members or staff",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
545,What law should the seconding supervisory authority's members or staff be subject to?,The seconding supervisory authority's members or staff shall be subject to the Member State law of the host supervisory authority.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
546,Who is responsible for the actions of staff of a seconding supervisory authority when operating in another Member State?,"Where, in accordance with paragraph 1, staff of a seconding supervisory authority operate in another Member State, the Member State of the host supervisory authority shall assume responsibility for their actions",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
547,What is the responsibility of the Member State in whose territory the damage was caused?,The Member State in whose territory the damage was caused shall make good such damage under the conditions applicable to damage caused by its own staff.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
548,Who shall make good the damage caused in the territory?,The Member State in whose territory the damage was caused shall make good such damage under the conditions applicable to damage caused by its own staff.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
549,What shall each Member State refrain from in the case provided for in paragraph 1?,"Without prejudice to the exercise of its rights vis-à-vis third parties and with the exception of paragraph 5, each Member State shall refrain, in the case provided for in paragraph 1, from requesting reimbursement from another Member State in relation to damage referred to in paragraph 4",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
550,What obligation must a supervisory authority comply with within one month?,"Where a joint operation is intended and a supervisory authority does not, within one month, comply with the obligation laid down in the second sentence of paragraph 2 of this Article",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
551,How long does a supervisory authority have to comply with the obligation mentioned in paragraph 2?,"Where a joint operation is intended and a supervisory authority does not, within one month, comply with the obligation laid down in the second sentence of paragraph 2",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 62_ Joint operations of supervisory authorities.txt,,
552,Who shall cooperate with each other under the consistency mechanism?,"the supervisory authorities shall cooperate with each other and, where relevant, with the Commission, through the consistency mechanism as set out in this Section.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 63_ Consistency mechanism.txt,,
553,When must the competent supervisory authority communicate the draft decision to the Board?,"To that end, the competent supervisory authority shall communicate the draft decision to the Board",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
554,What must the competent supervisory authority communicate to the Board?,"To that end, the competent supervisory authority shall communicate the draft decision to the Board",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
555,Under what circumstances does the Board issue an opinion?,The Board shall issue an opinion where a competent supervisory authority intends to adopt any of the measures below.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
556,Which article specifies the requirement for a data protection impact assessment?,a list of the processing operations subject to the requirement for a data protection impact assessment pursuant to Article 35(4),C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
557,Who can request that a matter be examined by the Board?,"Any supervisory authority, the Chair of the Board or the Commission may request that any matter of general application or producing effects in more than one Member State be examined by the Board",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
558,When is the deadline for adopting the opinion by the Board?,That opinion shall be adopted within eight weeks by simple majority of the members of the Board.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
559,How long can the period for adopting the opinion be extended?,"That period may be extended by a further six weeks, taking into account the complexity of the subject matter.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
560,What happens if a member does not object within the reasonable period indicated by the Chair?,"a member which has not objected within a reasonable period indicated by the Chair, shall be deemed to be in agreement with the draft decision.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
561,Who shall communicate relevant information to the Board?,"Supervisory authorities and the Commission shall, without undue delay, communicate by electronic means to the Board...",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
562,What should the Chair of the Board inform members about?,"The Chair of the Board shall, without undue, delay inform by electronic means...the members of the Board and the Commission of any relevant information...",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
563,What is the responsibility of the competent supervisory authority regarding its draft decision?,The competent supervisory authority shall not adopt its draft decision referred to in paragraph 1 within the period referred to in paragraph 3,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
564,When does the supervisory authority communicate its decision to the Chair of the Board?,"The supervisory authority referred to in paragraph 1 shall take utmost account of the opinion of the Board and shall, within two weeks after receiving the opinion, communicate to the Chair of the Board by electronic means whether it will maintain or amend its draft decision...",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
565,"If the supervisory authority disagrees with the Board's opinion, what action should it take?","Where the supervisory authority concerned informs the Chair of the Board within the period referred to in paragraph 7 of this Article that it does not intend to follow the opinion of the Board, in whole or in part, providing the relevant grounds, Article 65(1) shall apply.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 64_ Opinion of the Board.txt,,
566,In what cases will the Board adopt a binding decision?,"In order to ensure the correct and consistent application of this Regulation in individual cases, the Board shall adopt a binding decision in the following cases:",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
567,What are the situations where the Board will adopt a binding decision?,"In order to ensure the correct and consistent application of this Regulation in individual cases, the Board shall adopt a binding decision in the following cases:",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
568,When must the Board be requested for an opinion?,where a competent supervisory authority does not request the opinion of the Board in the cases referred to in Article 64(1),C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
569,Who can communicate the matter to the Board if a competent supervisory authority does not request the opinion of the Board?,"In that case, any supervisory authority concerned or the Commission may communicate the matter to the Board.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
570,At what point should the decision in paragraph 1 be adopted by a two-thirds majority of the Board?,The decision referred to in paragraph 1 shall be adopted within one month from the referral of the subject-matter by a two-thirds majority of the members of the Board.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
571,How long is the period that can be added due to the complexity of the subject-matter?,That period may be extended by a further month on account of the complexity of the subject-matter.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
572,How should the decision in paragraph 1 be addressed?,The decision referred to in paragraph 1 shall be reasoned and addressed to the lead supervisory authority and all the supervisory authorities concerned and binding on them.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
573,When will the decision be published on the website of the Board?,The decision shall be published on the website of the Board without delay after the supervisory authority has notified the final decision referred to in paragraph 6,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
574,When shall the supervisory authority adopt its final decision?,"The lead supervisory authority or, as the case may be, the supervisory authority with which the complaint has been lodged shall adopt its final decision on the basis of the decision referred to in paragraph 1 of this Article, without undue delay and at the latest by one month after the Board has notified its decision.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
575,What should the final decision of the supervisory authorities specify?,"The final decision of the supervisory authorities concerned shall be adopted under the terms of Article 60(7), (8) and (9). The final decision shall refer to the decision referred to in paragraph 1 of this Article and shall specify that the decision referred to in that paragraph will be published on the website of the Board in accordance with paragraph 5 of this Article",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
576,Who will publish the decision referred to in paragraph 1 of this Article?,The final decision shall refer to the decision referred to in paragraph 1 of this Article and shall specify that the decision referred to in that paragraph will be published on the website of the Board in accordance with paragraph 5 of this Article.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
577,What will the final decision refer to?,The final decision shall refer to the decision referred to in paragraph 1 of this Article and shall specify that the decision referred to in that paragraph will be published on the website of the Board in accordance with paragraph 5 of this Article.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
578,What will the final decision attach?,The final decision shall attach the decision referred to in paragraph 1 of this Article.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 65_ Dispute resolution by the Board.txt,,
579,When may a supervisory authority adopt provisional measures?,"In exceptional circumstances, where a supervisory authority concerned considers that there is an urgent need to act in order to protect the rights and freedoms of data subjects, it may, by way of derogation from the consistency mechanism referred to in Articles 63, 64, and 65 or the procedure referred to in Article 60, immediately adopt provisional measures...",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 66_ Urgency procedure.txt,,
580,What is the maximum period of validity for provisional measures adopted by a supervisory authority?,...intended to produce legal effects on its own territory with a specified period of validity which shall not exceed three months.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 66_ Urgency procedure.txt,,
581,Who is authorized to request an urgent opinion or an urgent binding decision from the Board?,"Any supervisory authority may request an urgent opinion or an urgent binding decision, as the case may be, from the Board",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 66_ Urgency procedure.txt,,
582,Within what period should an urgent opinion or an urgent binding decision be adopted by the Board?,an urgent opinion or an urgent binding decision referred to in paragraphs 2 and 3 of this Article shall be adopted within two weeks,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 66_ Urgency procedure.txt,,
583,What is the procedure for adopting implementing acts specified in the text?,Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 93(2).,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 67_ Exchange of information.txt,,
584,Who is to represent the Board?,2.The Board shall be represented by its Chair.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 68_ European Data Protection Board.txt,,
585,How is the Board composed?,"3.The Board shall be composed of the head of one supervisory authority of each Member State and of the European Data Protection Supervisor, or their respective representatives.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 68_ European Data Protection Board.txt,,
586,What is the Commission's role in the activities of the Board?,5.The Commission shall have the right to participate in the activities and meetings of the Board without voting right.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 68_ European Data Protection Board.txt,,
587,Who shall have the right to participate in the activities and meetings of the Board without voting right?,The Commission shall have the right to participate in the activities and meetings of the Board without voting right. The Commission shall designate a representative.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 68_ European Data Protection Board.txt,,
588,Which cases allow the European Data Protection Supervisor to have voting rights?,"In the cases referred to in Article 65, the European Data Protection Supervisor shall have voting rights only on decisions which concern principles and rules applicable to the Union institutions, bodies, offices, and agencies which correspond in substance to those of this Regulation.",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 68_ European Data Protection Board.txt,,
589,Who shall act independently when performing tasks or exercising powers?,The Board shall act independently when performing its tasks or exercising its powers pursuant to Articles 70 and 71,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 69_ Independence.txt,,
590,What shall the Board neither seek nor take when performing tasks or exercising powers?,"the Board shall, in the performance of its tasks or the exercise of its powers, neither seek nor take instructions from anybody",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 69_ Independence.txt,,
591,When was the motion filed?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
592,Who filed the motion?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
593,"What was filed on January 15, 2023?","The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
594,What date did the plaintiff take legal action?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
595,What is one of the conditions under which processing of personal data is lawful?,Processing shall be lawful only if and to the extent that at least one of the following applies:,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
596,What is a circumstance in which processing personal data is considered lawful?,(a)  the data subject has given consent to the processing of his or her personal data for one or more specific purposes;,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
597,Is processing personal data lawful when it is necessary for the performance of a contract?,processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
598,When is processing personal data considered necessary for the performance of a task carried out in the public interest?,processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
599,Who can processing be necessary to protect according to the text?,processing is necessary in order to protect the vital interests of the data subject or of another natural person,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
600,Who is exempt from the provision in point (f) of the first subparagraph?,Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
601,Who may maintain or introduce more specific provisions?,2.Member States may maintain or introduce more specific provisions,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
602,For what purpose can Member States adapt the application of the rules?,to adapt the application of the rules of this Regulation with regard to processing for compliance with points (c) and (e) of paragraph 1,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
603,What chapter provides for specific processing situations?,including for other specific processing situations as provided for in Chapter IX,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
604,What specific requirements can Member States determine?,by determining more precisely specific requirements for the processing,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
605,Who determines the purpose of the processing?,The purpose of the processing shall be determined in that legal basis,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
606,What are the types of data subject to processing?,the types of data which are subject to the processing,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
607,Who may contain specific provisions to adapt the application of regulations?,That legal basis may contain specific provisions to adapt the application of rules of this Regulation,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
608,What are the processing operations and procedures meant to ensure?,"processing operations and processing procedures, including measures to ensure lawful and fair processing",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
609,What is the specific chapter mentioned for processing situations?,processing situations as provided for in Chapter IX.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
610,What must the Union or the Member State law meet in relation to an objective of public interest?,The Union or the Member State law shall meet an objective of public interest,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
611,What should the law be proportionate to in order to meet a legitimate aim?,and be proportionate to the legitimate aim pursued.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
612,When was the motion filed?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
613,Who filed the motion?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
614,"What was filed on January 15, 2023?","The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
615,What date did the plaintiff take legal action?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
616,What does the controller need to consider to determine if processing for another purpose is compatible?,Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject's consent...,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
617,What are the two possible categories of personal data mentioned in the excerpt?,"(c)  the nature of the personal data, in particular whether special categories of personal data are processed, pursuant to Article 9, or whether personal data related to criminal convictions and offences are processed, pursuant to Article 10",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
618,What type of safeguards may exist for data processing according to the text?,"(e)  the existence of appropriate safeguards, which may include encryption or pseudonymisation",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
619,Who is the motion filed by?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
620,When did the plaintiff take legal action?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
621,"What did the plaintiff file on January 15, 2023?","The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
622,When was the legal action initiated by the plaintiff?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 6_ Lawfulness of processing.txt,,
623,Who is responsible for monitoring the application of this Regulation?,The Board shall ensure the consistent application of this Regulation.,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
624,What specific cases does the Board monitor for the correct application of the Regulation?,monitor and ensure the correct application of this Regulation in the cases provided for in Articles 64 and 65,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
625,When was this Regulation amended?,"advise the Commission on any issue related to the protection of personal data in the Union, including on any proposed amendment of this Regulation;",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
626,What does the body issue regarding the erasure of personal data?,"(d)  issue guidelines, recommendations, and best practices on procedures for erasing links, copies or replications of personal data from publicly available communication services as referred to in Article 17(2);",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
627,What can the Board do in relation to personal data breaches?,"issue guidelines, recommendations and best practices in accordance with point (e) of this paragraph for establishing the personal data breaches and determining the undue delay referred to in Article 33(1) and (2) and for the particular circumstances in which a controller or a processor is required to notify the personal data breach",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
628,"What is the purpose of issuing guidelines, recommendations, and best practices according to the text?","issue guidelines, recommendations and best practices in accordance with point (e)",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
629,"For which articles are the guidelines, recommendations, and best practices related to establishing personal data breaches issued?",Article 33(1) and (2),C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
630,Who is required to notify the personal data breach based on the guidelines mentioned?,a controller or a processor is required to notify the personal data breach,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
631,"What was filed on January 15, 2023?","The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
632,Who filed the motion?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
633,What date did the plaintiff take legal action?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
634,What was the reason for filing the motion?,"The plaintiff filed the motion on January 15, 2023",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
635,What action is the supervisory authority encouraged to do according to point (n)?,(n) encourage the drawing-up of codes of conduct and the establishment of data protection certification mechanisms and data protection seals and marks pursuant to Articles 40 and 42,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
636,What specific accreditation task is the supervisory authority expected to carry out according to point (o)?,(o) carry out the accreditation of certification bodies and its periodic review pursuant to Article 43,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
637,What is the purpose of maintaining a public register of accredited bodies?,(o)  carry out the accreditation of certification bodies and its periodic review pursuant to Article 43 and maintain a public register of accredited bodies pursuant to Article 43(6) and of the accredited controllers or processors established in third countries pursuant to Article 42(7);,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
638,What is the authority responsible for providing an opinion on certification requirements?,(q)  provide the Commission with an opinion on the certification requirements referred to in Article 43(8);,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
639,Which bodies does the register specify pursuant to Article 43(6)?,The register of accredited bodies pursuant to Article 43(6) and of the accredited controllers or processors established in third countries pursuant to Article 42(7),C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
640,What is the purpose of specifying requirements under Article 43(3)?,Specify the requirements referred to in Article 43(3) with a view to the accreditation of certification bodies under Article 42,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
641,For what purpose is the Commission provided with an opinion by the register?,Provide the Commission with an opinion on the certification requirements referred to in Article 43(8),C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
642,Who shall provide the Board with all necessary documentation?,the Commission shall provide the Board with all necessary documentation,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 70_ Tasks of the Board.txt,,
