,Unnamed: 0,question,location,corpus_id,references
97,22,Who is held responsible if the Controller is not a natural person?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,"If the Controller is not a natural person, the responsible party is the representative or head of the organization..."
98,23,What type of cases fall under the jurisdiction of the Court of Appeal?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,Felonies under this law fall under the jurisdiction of the Court of Appeal.
99,24,What is the specific range of fines for violating the provisions mentioned?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Rights_Management Information - Article 66B N. 2121-1993.txt,"Violation of these provisions is punished by imprisonment of at least one year and a fine of 2,900 to 15,000 Euro"
100,25,What law provides for civil sanctions?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Rights_Management Information - Article 66B N. 2121-1993.txt,with applicable civil sanctions under article 65 of Law 2121/1993.
101,26,What are considered effective measures in technological protection?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Technological measures - Article 66A N. 2121-1993.txt,Effective measures include access control or protection processes like encryption or copy control mechanisms.
102,27,What are the potential consequences of violating the provisions?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Technological measures - Article 66A N. 2121-1993.txt,"Violation of the provisions is punishable by imprisonment of at least one year and a fine of 2,900 to 15,000 Euro."
103,28,Under what law are civil sanctions for violations outlined?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Technological measures - Article 66A N. 2121-1993.txt,It also entails civil sanctions under article 65 of Law 2121/1993.
104,29,What civil sanctions are mentioned in the excerpt?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Technological measures - Article 66A N. 2121-1993.txt,It also entails civil sanctions under article 65 of Law 2121/1993.
105,30,Where can disputes be mediated or resolved?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Technological measures - Article 66A N. 2121-1993.txt,Disputes may be mediated or resolved by the Court of Appeal of Athens.
106,31,What is the maximum duration of imprisonment for unauthorized access to data recorded in a computer?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Unauthorized data access - Article 370Γ ΠΚ.txt,Everyone who obtains access to data recorded in a computer...shall be punished with imprisonment for up to six months
107,32,What is the range for the fine imposed for accessing data without right?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Unauthorized data access - Article 370Γ ΠΚ.txt,"...shall be punished...by a fine from 29 to 15,000 Euro"
108,33,Under what condition would a person be punished according to Article 148 for unauthorized access to data?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Unauthorized data access - Article 370Γ ΠΚ.txt,"If the act concerns the international relations or the security of the State, he shall be punished according to Article 148"
109,34,"If the offender is in the service of the legal holder of the data, under what circumstances would the act be punished according to internal regulations or a written decision?",,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Unauthorized data access - Article 370Γ ΠΚ.txt,The act of the preceding paragraph shall be punished only if it has been explicitly prohibited by internal regulations or by a written decision of the holder or of a competent employee of his
110,35,How long could imprisonment last for those who copy or use computer programs without right?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 370Γ ΠΚ.txt,shall be punished by imprisonment up to six months
111,36,What is the minimum penalty amount for copying or using computer programs without right?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 370Γ ΠΚ.txt,penalty from 290 Euro
112,37,Who would be liable to imprisonment and a fine according to this law?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"Any person who, in contravention of the provisions of this law or of the provisions of lawfully ratified multilateral international conventions on the protection of copyright, unlawfully makes a fixation of a work or of copies, reproduces them directly or indirectly, temporarily or permanently in any form, in whole or in part, translates, adapts, alters or transforms them, or distributes them to the public by sale or other means, or possesses with the intent of distributing them, rents, performs in public, broadcasts by radio or television or any other means, communicates to the public works or copies by any means, imports copies of a work illegally produced abroad without the consent of the author and, in general, exploits works, reproductions or copies being the object of copyright or acts against the moral right of the author to decide freely on the publication and the presentation of his work to the public without additions or deletions, shall be liable to imprisonment of no less than a year and to a fine"
113,38,What penalty may be imposed for acts against the moral right of the author?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,shall be liable to imprisonment of no less than a year and to a fine from 2
114,39,What consequences are stated for the object of copyright?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,the object of copyright or acts against the moral right of the author to decide freely on the publication and the presentation of his work to the public without additions or deletions
115,40,How much money is specified in the text?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,.900-15.000 Euro.
116,41,What is the Euro currency range mentioned?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,.900-15.000 Euro.
117,42,Between which amounts does the Euro currency range fall?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,.900-15.000 Euro.
118,43,What is the minimum Euro amount specified?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,.900-15.000 Euro.
119,44,What is prohibited without the performers' permission?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"Without the permission of the performers: fixes their performance; directly or indirectly, temporarily or permanently reproduces by any means and form, in whole or in part, the fixation of their performance; distributes to the public the fixation of their performance or possesses them with the purpose of distribution; rents the fixation of their performance;"
120,45,How can phonogram producers be impacted if their recordings are distributed without permission?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"distributes to the public the above recordings, or possesses them with the purpose of distribution"
121,46,Under what circumstance can phonogram producers' phonograms be accessed by the public without permission?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"makes available to the public, by wire or wireless means, in such a way that members of the public may access them from a place and at a time individually chosen by them, their phonograms"
122,47,What is one action specified that would require permission by producers of audiovisual works?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"Without the permission of producers of audiovisual works (producers of visual or sound and visual recordings): directly or indirectly, temporarily or permanently reproduces by any means and form, in whole or in part, the original and the copies of their films"
123,48,In what way can the original and copies of films be made available to the public without permission?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"makes available to the public, by wire or wireless means, in such a way that members of the public may access them from a place and at a time individually chosen by them, the original and the copies of their films"
124,49,Who can rebroadcast the broadcasts without permission?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,Without the permission of radio and television organizations: rebroadcasts their broadcasts by any means
125,50,What is prohibited regarding presenting broadcasts to the public?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,presents their broadcasts to the public in places accessible to the public against payment of an entrance fee
126,51,In what way can the fixation of broadcasts be made available to the public?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"makes available to the public, by wire or wireless means, in such a way that members of the public may access them from a place and at a time individually chosen by them, the fixation of their broadcasts"
127,52,What can one not do regarding reproducing the fixation of broadcasts?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"directly or indirectly, temporarily or permanently reproduces by any means and form, in whole or in part, the fixation of their broadcasts"
128,53,How many years of imprisonment are mandated for financial gain sought or damage caused by specific acts?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,the sanction shall be not less than two years imprisonment
129,54,What range is the fine specified for those acts?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,a fine of from 2 to 10 million drachmas
130,55,What type of court tries felony copyright infringements?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,Any infringement of copyright and related rights in the form of felony is tried by the competent Three-member Court of Appeal for Felonies.
131,56,How is a guilty party's past conviction taken into account regarding copyright infringement?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,The act shall be likewise deemed to have been perpetrated by way of standard practice if the guilty party has on a previous occasion been convicted of a contravention pursuant to the provisions of the Article or for a violation of the preceding copyright legislation and sentenced to a non-redeemable period of imprisonment.
132,57,"What sanction does a person face for not paying the remuneration according to Article 18, paragraph (3)?",,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"Any person who did not pay the remuneration provided for by Article 18, paragraph (3) hereof to a collecting society is punished with the sanction of paragraph (1), (2) and (3)."
133,58,What is the consequence for a debtor who does not submit the declaration after the one-member first instance court's decision?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"The same sentence is imposed on the debtor who, after the issuance of the decision of the one-member first instance court, does not submit the declaration under the provisions of article 18, par. 6, of this law."
134,59,Who uses or distributes any system with the intent to facilitate the unpermitted removal of a technical system used to protect a computer program?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"The sanctions specified in paragraph (1), above, shall be applicable likewise to any person who: uses or distributes, or possesses with the intent to distribute, any system or means whose sole purpose is to facilitate the unpermitted removal or neutralization of a technical system used to protect a computer program"
135,60,What specifications must equipment utilizable for the reproduction of a work conform to as determined pursuant to Article 59 of this Law?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"manufactures or imports or distributes, or possesses with intent to distribute, equipment and other materials utilizable for the reproduction of a work which do not conform to the specifications determined pursuant to Article 59 of this Law"
136,61,What is required when reproducing or using a work according to Article 60 of this Law?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,reproduces or uses a work without utilizing the equipment or without applying the systems specified pursuant to Article 60 of this Law
137,62,What must be present when distributing a phonogram or film?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"distributes, or possesses with intent to distribute, a phonogram or film without the special mark or control label"
138,63,What is required pursuant to Article 61 of this Law?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"distributes, or possesses with intent to distribute, a phonogram or film without the special mark or control label specified pursuant to Article 61 of this Law"
139,64,What action would constitute reproduction or use of a work without utilizing specified equipment?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,reproduces or uses a work without utilizing the equipment or without applying the systems specified pursuant to Article 60 of this Law
140,65,"What did the plaintiff file on January 15, 2023?",,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"The plaintiff filed the motion on January 15, 2023"
141,66,"Who lodged the motion on January 15, 2023?",,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"The plaintiff filed the motion on January 15, 2023"
142,67,"When did the plaintiff take legal action by filing the motion on January 15, 2023?",,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"The plaintiff filed the motion on January 15, 2023"
143,68,On what date was the motion filed by the plaintiff?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"The plaintiff filed the motion on January 15, 2023"
144,69,What is the minimum imprisonment term for proceeding with the reproduction of the database?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"Any person who proceeds to authorized temporary or permanent reproduction of the database, translation, adaptation, arrangement and any other alteration of the database, distribution to the public of the database or of copies thereof, communication, display or performance of the database to the public, is punished by imprisonment of at least one (1) year and a fine of one (1) to five (5) million drachmas."
145,70,What is the range of fines that can be imposed for proceeding with the reproduction of the database?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"Any person who proceeds to authorized temporary or permanent reproduction of the database, translation, adaptation, arrangement and any other alteration of the database, distribution to the public of the database or of copies thereof, communication, display or performance of the database to the public, is punished by imprisonment of at least one (1) year and a fine of one (1) to five (5) million drachmas."
146,71,What is the punishment for extracting the contents of the database without authorization?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"Any person who proceeds to extraction and/or re-utilization of the whole or of a substantial part of the contents of the database without the authorization of the author thereof, is punished by imprisonment of at least one (1) year and a fine of one (1) to five (5) million drachmas (article 12 of Directive 96/9)."
147,72,Under what condition is the culpable character of the action raised in regards to computer software infringement?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"The culpable character of the action, as described in paragraph 1 of article 65A and under the prerequisites provided there, is raised under the condition that the infringer proceeds in the unreserved payment of the administrative fee and the infringement concerns a quantity of up to 50 programs."
148,73,For what quantity of illegal sound recording carriers does the culpable character of the action get raised?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,the culpable character of the action is raised under the condition that the infringement concerns a quantity of up to five hundred (500) illegal sound recording carriers.
149,74,What happens to the administrative fee in case of recidivism during the same financial year?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,In case of recidivism during the same financial year the administrative fee provided for by article 65A doubles.
150,75,What obligations are infringers not relieved of despite the payment of the administrative fee?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,"The payment of the administrative fee and the raising of the culpable character of the action, do not relieve the infringers from the duty of buying off the copyright and related rights or from the duty of compensating and paying the rest expenses to the holders of these rights, according to the provisions of the relevant laws."
151,76,Where must the administrative fee be paid according to the stipulation of par.2 of article 65A?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Use of Software - Article 66 Ν. 2121-1993.txt,administrative fee according to the stipulation of par.2 of article 65A
152,77,Who will suffer punishment by imprisonment for three months to five years?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Violation of secrecy - Article 370Β ΠΚ.txt,"Whoever, without authorization, copies, uses, discloses to another person, or in any way violates data of a computer or a computer program, which belong to the realm of state secrets, private secrets, business secrets, trade secrets, or privacy, shall be punished by imprisonment from three months to five years."
153,78,How long can imprisonment last for the act if the secret computer data and programs belong to military or diplomatic secrets or the security of the state?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Violation of secrecy - Article 370Β ΠΚ.txt,"If the secret computer data and programs belong to the realm of military or diplomatic secrets, or of the security of the state, the act shall be punished according to Articles 146–147."
154,79,Under what circumstances will the offenses of paragraphs 1-2 be prosecuted?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Violation of secrecy - Article 370Β ΠΚ.txt,The offences of paragraphs 1–2 are prosecuted only upon complaint.
155,80,What is considered private computer data or programs according to the excerpt?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Violation of secrecy - Article 370Β ΠΚ.txt,"Private computer data or programs should be considered all the data and programs that the legal holder keeps secret with justified interest, especially if the owner had taken security measures."
